##FastQC	0.11.2
>>Basic Statistics	pass
#Measure	Value
Filename	P3719_201_S1_L001_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	463214407
Sequences flagged as poor quality	0
Sequence length	30-151
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.74083739368668	32.0	32.0	32.0	32.0	32.0
2	31.83279635773505	32.0	32.0	32.0	32.0	32.0
3	36.56443028120237	37.0	37.0	37.0	37.0	37.0
4	36.72455498345499	37.0	37.0	37.0	37.0	37.0
5	36.86916728390963	37.0	37.0	37.0	37.0	37.0
6	41.55160134516282	42.0	42.0	42.0	42.0	42.0
7	41.61344105603347	42.0	42.0	42.0	42.0	42.0
8	41.6413152300766	42.0	42.0	42.0	42.0	42.0
9	41.65091014753347	42.0	42.0	42.0	42.0	42.0
10-14	41.65029790103225	42.0	42.0	42.0	42.0	42.0
15-19	41.64263934433283	42.0	42.0	42.0	42.0	42.0
20-24	41.60679150940139	42.0	42.0	42.0	42.0	42.0
25-29	41.55282199372525	42.0	42.0	42.0	42.0	42.0
30-34	41.50467028752025	42.0	42.0	42.0	42.0	42.0
35-39	41.459329296628255	42.0	42.0	42.0	42.0	42.0
40-44	41.46692624234855	42.0	42.0	42.0	42.0	42.0
45-49	41.43917530768366	42.0	42.0	42.0	42.0	42.0
50-54	41.41042448795182	42.0	42.0	42.0	42.0	42.0
55-59	41.3748363729283	42.0	42.0	42.0	42.0	42.0
60-64	41.34482260964732	42.0	42.0	42.0	42.0	42.0
65-69	41.31801447076167	42.0	42.0	42.0	42.0	42.0
70-74	41.289780710429156	42.0	42.0	42.0	42.0	42.0
75-79	41.124384819679314	42.0	42.0	42.0	40.0	42.0
80-84	41.31925089105365	42.0	42.0	42.0	42.0	42.0
85-89	41.215518621092166	42.0	42.0	42.0	42.0	42.0
90-94	41.20887832540011	42.0	42.0	42.0	42.0	42.0
95-99	41.17723151877634	42.0	42.0	42.0	42.0	42.0
100-104	41.12758167512039	42.0	42.0	42.0	42.0	42.0
105-109	41.06515901526174	42.0	42.0	42.0	41.0	42.0
110-114	40.90880315538321	42.0	42.0	42.0	37.0	42.0
115-119	40.77394842347538	42.0	42.0	42.0	37.0	42.0
120-124	40.570529202909384	42.0	42.0	42.0	37.0	42.0
125-129	40.390849255050206	42.0	42.0	42.0	37.0	42.0
130-134	40.06170809327469	42.0	42.0	42.0	37.0	42.0
135-139	39.8049902340676	42.0	42.0	42.0	32.0	42.0
140-144	39.46740751116969	42.0	38.0	42.0	32.0	42.0
145-149	39.088435159285474	42.0	37.0	42.0	32.0	42.0
150-151	37.719278519499184	39.5	34.5	42.0	29.5	42.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1221	1	-0.1897409398952874
1221	2	-0.042444152500625165
1221	3	-0.07682770909182324
1221	4	-0.14176782660998555
1221	5	-0.4463059705150556
1221	6	-0.4153426264028681
1221	7	-0.2547835207703457
1221	8	-0.3705837355096193
1221	9	-0.13894491018711363
1221	10-14	-0.14736483697146951
1221	15-19	-0.1483912845756592
1221	20-24	-0.13311049676143938
1221	25-29	-0.16328902734843354
1221	30-34	-0.13072510911527502
1221	35-39	-0.07702658036234311
1221	40-44	-0.1363782446080961
1221	45-49	-0.4507419688837544
1221	50-54	-0.21497800391333755
1221	55-59	-0.29024202205187777
1221	60-64	-0.39555667558491336
1221	65-69	-0.33601655633478344
1221	70-74	-0.2159878193370801
1221	75-79	-0.571423099939345
1221	80-84	-0.18808292250191272
1221	85-89	-0.1381303163978771
1221	90-94	-0.1332812658514868
1221	95-99	-0.06674501486886442
1221	100-104	-0.2557432710136496
1221	105-109	-0.23518921848084062
1221	110-114	-0.19096169099568527
1221	115-119	-0.26978271513678465
1221	120-124	-0.5296639305083843
1221	125-129	-0.2194156627295385
1221	130-134	-0.4610755713466048
1221	135-139	-0.7671787547537647
1221	140-144	-0.6473955791344821
1221	145-149	-0.5587623716922536
1221	150-151	-0.1439843179865079
2201	1	0.054105142107125914
2201	2	2.456020780279289E-4
2201	3	-0.09014555455043194
2201	4	0.016079977648082888
2201	5	-0.010472988827864071
2201	6	0.02532883994159363
2201	7	-0.001943642266709844
2201	8	0.0013865735392926126
2201	9	0.01681464733974991
2201	10-14	-0.046185402386193175
2201	15-19	-0.024141827488435297
2201	20-24	-0.030861515206360934
2201	25-29	0.011872605540148129
2201	30-34	-0.018667373020015532
2201	35-39	0.03312958585183168
2201	40-44	0.010619030074984437
2201	45-49	-0.003292015104022994
2201	50-54	-0.008775991544851536
2201	55-59	0.004487237372934771
2201	60-64	-0.030742706223357175
2201	65-69	-0.016123259886924757
2201	70-74	-0.05611680336847513
2201	75-79	-0.07732521479403687
2201	80-84	0.029259589921245777
2201	85-89	-0.039369618941314855
2201	90-94	-0.17314352468392968
2201	95-99	-0.10916584361979176
2201	100-104	-0.15231456336129412
2201	105-109	-0.011200000795071219
2201	110-114	0.05475281653601627
2201	115-119	0.0356602313594081
2201	120-124	0.06318285771661891
2201	125-129	0.11018362240741197
2201	130-134	0.20755750001008266
2201	135-139	0.13520271623857383
2201	140-144	0.09363400784350517
2201	145-149	0.26441047087958225
2201	150-151	0.5006336009216099
1101	1	0.03882841591774522
1101	2	-0.06958137288640032
1101	3	-0.04965260114973802
1101	4	0.06254910447425033
1101	5	-0.004194174838445974
1101	6	-0.055131564090871166
1101	7	-0.03580625375460755
1101	8	-0.04683237890881031
1101	9	-0.010307871476307184
1101	10-14	-0.06938096637728819
1101	15-19	-0.034018701141768304
1101	20-24	-0.0713274975528222
1101	25-29	-0.1156085831534881
1101	30-34	-0.14971638320268
1101	35-39	-0.05747217670462845
1101	40-44	-0.16163369716323928
1101	45-49	-0.16476222898242554
1101	50-54	-0.0018990990310285838
1101	55-59	2.3552845680541168E-4
1101	60-64	-0.0782909731282686
1101	65-69	-0.0729385751587941
1101	70-74	-0.07057041411570708
1101	75-79	-0.00739510753133743
1101	80-84	0.07049083606568018
1101	85-89	0.12013296200643708
1101	90-94	0.11363477795202215
1101	95-99	0.07236057393962625
1101	100-104	0.06947364878841
1101	105-109	0.10572320909567878
1101	110-114	0.0034963874516407145
1101	115-119	-0.16234824590888053
1101	120-124	-0.3684577716537305
1101	125-129	-0.19563868117865724
1101	130-134	0.07819291832571906
1101	135-139	0.2568900061167412
1101	140-144	0.17995096798635046
1101	145-149	0.06176335872719818
1101	150-151	-0.062463459780410346
1220	1	0.05650414387061886
1220	2	0.01973664426520827
1220	3	0.0196556304397717
1220	4	0.028378872399947852
1220	5	-0.012641745108240343
1220	6	0.011977763356838977
1220	7	-0.013913974525003425
1220	8	7.828220159495913E-4
1220	9	-0.006737577503947989
1220	10-14	0.0022186307872118505
1220	15-19	0.018912310030991364
1220	20-24	0.003906186983250848
1220	25-29	0.0174642112315766
1220	30-34	-0.008617389916359741
1220	35-39	0.03735167389434224
1220	40-44	0.009479580939235177
1220	45-49	-0.01956540103570603
1220	50-54	0.02979657551137649
1220	55-59	-0.026880238613912866
1220	60-64	6.042306164033562E-4
1220	65-69	-0.016405570485389376
1220	70-74	-0.01372905205389685
1220	75-79	0.004623624771888046
1220	80-84	0.034921949264337115
1220	85-89	0.1565877250299721
1220	90-94	0.13421213570359924
1220	95-99	0.10891160054875826
1220	100-104	0.10499390601424352
1220	105-109	0.11309183945433432
1220	110-114	0.15646791413257688
1220	115-119	0.15654103021187638
1220	120-124	0.15942165662136176
1220	125-129	0.1826374963132622
1220	130-134	0.3051822456689379
1220	135-139	0.3805278570061006
1220	140-144	0.1869443842342804
1220	145-149	0.20287687166851498
1220	150-151	0.3156507148481609
2202	1	0.07963965477019386
2202	2	0.010380590091795483
2202	3	0.019059113565916164
2202	4	0.045685446506581684
2202	5	-0.011295258131688968
2202	6	-0.022800054405756498
2202	7	0.047245141472949115
2202	8	6.19052648040963E-4
2202	9	0.03206417209161572
2202	10-14	0.02454323828325755
2202	15-19	0.021289205599579475
2202	20-24	-0.016446942314608748
2202	25-29	0.030101115596714578
2202	30-34	0.0365630676997597
2202	35-39	0.0676294264058015
2202	40-44	0.06058126840422773
2202	45-49	0.0609546315021845
2202	50-54	0.03585264545304767
2202	55-59	0.05422522131399177
2202	60-64	0.022994864308060414
2202	65-69	0.05285934770003564
2202	70-74	0.1071048405928181
2202	75-79	0.03997549672077838
2202	80-84	0.08192585795014651
2202	85-89	0.17642718214543862
2202	90-94	0.11598642016814864
2202	95-99	0.055417521580316986
2202	100-104	0.03338906445982559
2202	105-109	0.06090150791305149
2202	110-114	-0.01005478198459997
2202	115-119	-0.052181845560951956
2202	120-124	-0.21151388860428
2202	125-129	-0.21428014967104758
2202	130-134	0.012290758655694844
2202	135-139	-0.16626945747291444
2202	140-144	-0.33330892880680096
2202	145-149	-0.38166906792339717
2202	150-151	-0.005032287860004203
1102	1	0.01100333229179995
1102	2	-0.003398380864265249
1102	3	-0.0626577274124216
1102	4	-0.0711465225639003
1102	5	-0.06795096274978363
1102	6	-0.0735550788133068
1102	7	-0.1280476108422235
1102	8	-0.13616989896808462
1102	9	-0.020521517179766136
1102	10-14	-0.07332259098516403
1102	15-19	-0.080544528748824
1102	20-24	-0.06548230342433214
1102	25-29	-0.042661320234330447
1102	30-34	-0.02975694702207221
1102	35-39	-0.06721067812765114
1102	40-44	-0.044142151083903514
1102	45-49	-0.14554244788838133
1102	50-54	-0.11429088094303097
1102	55-59	-0.1380624869874083
1102	60-64	-0.10266049046648362
1102	65-69	-0.20042531580658363
1102	70-74	-0.15419134617341967
1102	75-79	-0.14313978463813015
1102	80-84	-0.024221162940726515
1102	85-89	-0.07859006137388036
1102	90-94	-0.17093121508607112
1102	95-99	-0.22960985099873454
1102	100-104	-0.28444406395006183
1102	105-109	-0.24769503636529322
1102	110-114	-0.23133183855783557
1102	115-119	-0.2520231661738208
1102	120-124	-0.4034071728170545
1102	125-129	-0.48089736843378716
1102	130-134	-0.6183575430876331
1102	135-139	-0.456768742673745
1102	140-144	-0.3697246290052263
1102	145-149	-0.27521146523380224
1102	150-151	-0.23340017430030713
1223	1	0.07024693041744356
1223	2	-0.0021214352503236
1223	3	0.002391281248307564
1223	4	0.056341238856489895
1223	5	0.02084554997776422
1223	6	0.0231205338715057
1223	7	-0.002290108465942353
1223	8	0.02710456425077723
1223	9	-0.001705730212975709
1223	10-14	0.013104400138807648
1223	15-19	0.02859468002741039
1223	20-24	0.026989846288188346
1223	25-29	0.0331533447176966
1223	30-34	0.02594354098881979
1223	35-39	0.04132057723813887
1223	40-44	0.037127578698623154
1223	45-49	0.04151515214869761
1223	50-54	0.03788635604993118
1223	55-59	0.04782180871043806
1223	60-64	0.03036298229608292
1223	65-69	0.0075646260430417556
1223	70-74	0.05646414856163773
1223	75-79	0.08448447415991467
1223	80-84	0.026367999439806056
1223	85-89	0.10651703556087
1223	90-94	0.025265122842931476
1223	95-99	0.025085961725515915
